              Gene  norm1			  norm2	        norm3	        norm4	        norm5	       norm6	        norm7	     norm8	        norm9	     norm10	        norm11	     norm12	        norm13	     norm14	       norm15	     norm16	        norm17	     norm18	        norm19	     norm20	        norm21	     norm22	        tumor1	     tumor2	        tumor3	     tumor4	        tumor5	     tumor6	       tumor7	    tumor8	        tumor9	     tumor10	  tumor11	     tumor12	  tumor13	     tumor14	  tumor15	     tumor16	  tumor17	     tumor18	  tumor19	     tumor20	  tumor21	    tumor22	        tumor23	    tumor24	        tumor25	     tumor26	  tumor27	     tumor28	  tumor29	    tumor30	        tumor31	     tumor32	  tumor33	     tumor34	  tumor35	     tumor36	  tumor37	     tumor38	  tumor39	    tumor40
             11     1672.97500     1723.58000     2289.03500     5784.12120     3830.42500     4454.96250     3301.12880     5387.96630     1894.92880     2776.22870     2329.94120     1179.73500     2126.06500     2798.16250     1989.59380     1735.07750     2821.59750     1019.00620     3206.49880     2266.20620      995.04750     3280.84620     7473.63620     2441.41880     4491.17750     1387.18870      967.78500     4984.22370     3186.30250     2683.17000     8021.13750     2801.89750     3783.52500     6404.31500     2530.78120     2446.04000     2939.04750     2983.80120     2936.32870     2962.72250     2369.64000     1496.40630     5199.19500     4445.77500     3932.20620     5468.15630     7351.67380     2598.06000     1210.81620     6094.98870     7927.65250     5096.50880     2831.09130     2940.96380     2724.26620     2475.54000     3431.56620     1398.46750     6527.65000     2260.79250     1985.22620     6707.67620
             12     1792.17690     1298.72500     2162.28650     2222.20770     3046.94620     2341.64230     2130.00580     1088.85960     3095.50190     2877.68850     1875.17120     1632.90960     1412.59230     2678.86920     2413.09230     1866.57310     2583.58650     2190.10770     2421.47690     1747.12690     1272.51350     1655.30580     2683.65580     1487.67120     4066.33080     1172.81540      962.56154     3014.07120     2319.65380     2520.98650     2890.69040     1604.94620     2129.93460     3721.81150     1287.13080     2522.78850     2851.56150     2302.55380     2590.70960     1894.28270     1440.54620     1604.26150     2579.71150     3337.26920     2551.85380     4009.47690     3543.97880     1522.64620      989.27500     2678.03850     2022.67310     4224.23080     2849.59230     2707.53460     2557.78460     1496.04040     2122.35960     1291.81730     3105.42500     1934.12690     1329.44230     3870.90960
             13     3792.54250     1309.34750     2070.07750     2502.81000     8878.30880     4825.53380     2352.11870     1894.86500     2565.13000     4531.55120     5504.67500     2390.10250     2692.57750     2393.43750     5328.29000     6146.01620     4650.89500     1816.49500     1859.28000     2105.73630     3456.85620     2565.43000     2592.50500     1315.85380     2343.08250     2211.90120     2605.36620     3380.84750     5880.63380     4964.49120     3754.66620     3529.47380     2038.06870     3919.85630     1569.98880     1500.44880     4113.70880     1964.47250     2639.30870     2140.47120     1016.88630     1489.90500     1943.82750     4777.86750     7450.41500     3601.68750     6017.50000     1300.59880     2881.59620     1550.43250     1427.51250     2309.16120     1539.02250     1290.58250     3164.69620     2282.84750     2822.39630      886.01875     2482.56620     2410.13380     1347.26370     7921.85500
             14     3630.38250     1789.67000     3466.79120     3616.24620     5729.32120     6074.59000     3216.15380     2464.19250     2445.21120     5161.13880     2411.46250     1421.71750     3547.25750     4583.19380     7127.01120     4707.58620     5976.10880     2953.29750     5320.09380     1895.81250     2715.22000     3764.36370     2543.70000      855.45500     3915.72380     1128.49380     1181.28880     3193.87370     2399.06370     2664.58750     3593.96880     2190.55500     2917.37000     3550.68880     1593.45750     2332.23750     1333.77250     2490.74120     2609.57250     2582.01130     1842.41630     1364.17000     2555.93750     5455.74500     4986.59120     6879.55500     5247.56750     1181.63000     2263.23620     1290.42000     3334.28500     7860.92880     3242.04250     2166.38500     2285.30880     3760.68250     3008.31750      937.23750     3450.61000     1356.32380     1270.16880     3648.42750
             15     1906.21310     1587.79170     2137.41790     1673.22620     2763.32260     3723.87860     2676.37140     3904.84050     1834.09170     2910.63810     1821.22980     1243.74880     2164.83690     2665.51310     3681.71070     2050.55830     2555.62020     1865.29880     3043.68930      938.95952      824.83810     2919.90000     5571.27860      802.30476     6517.92140     1528.39760     1728.36790     4816.35830     3481.25120     4316.29640     4053.89400     2099.78930     3900.64290     4788.10480     1925.35240     3030.45120     2712.97140     3483.59760     2711.74640     4021.48450     1772.25830     2093.50120     3371.30120     5455.88570     3753.81670     6581.25600     6136.10000     2417.95830     1327.66430     4205.41790     5329.66430     7190.99640     3491.61900     3095.99880     2576.74880     2101.52980     1941.99050     1876.12740     5076.66430     1931.61670     1767.28810     5570.30830
             16     5745.39580     3496.14580     2716.37920     4623.07920     5865.65830     3353.46670     4670.89580     2767.29580     4361.50420     4113.71250     8844.99170      758.52917     4331.96670     4444.95830     7727.61250     6173.10000     6192.38750     4524.52920     5520.96670     3531.57920     4483.50420     3681.35000     3060.57080     3251.10830     6189.92500     2448.75830     2961.73330     5862.68750     8076.11670     7631.15000     4819.00830     2796.75000     3104.80830     4712.15420     2389.99170     2043.37080     5104.26250     2124.08330     3462.90420     3437.20420     1588.39170     3048.07920     4847.66250     7722.43330    10694.51700     6469.80830     8252.90830     3139.40000     3513.73330     1872.00000     1547.21670     4295.82080     2595.53750     2177.31250     3056.72500     2825.15830     2817.80420     1591.59580     4989.68750     5822.57500     2431.40420     8512.02920
             17     1919.44620     1226.29750     1497.15880     1871.76000     1828.06620     2760.96000     2462.97250     1470.14500     1362.38750     1957.59630     2078.15000      745.53500     2752.59620     2180.67500     4888.72750     2143.07250     5407.16750     3225.58620     3162.45370     2499.98250     1973.86380     3288.50000     3213.70120      781.99500     3477.27250     1528.40880      882.87875     3756.56250     3513.21130     2461.07500     3890.42000     2170.43750     2861.23500     3533.08620     2823.50000     3639.82500     1545.44500     3914.90630     1939.07250     3441.90250     1474.12620     1324.54130     2619.60620     4298.31500     4003.85620     6988.94500     6756.02250     2473.26130     1749.16380     1598.10370     4694.58000     8875.92000     3740.66370     2845.10130     1391.59000     2603.85880     2185.65630     1435.05000     6692.59870     2949.20620     2593.85000     4844.52250
             18     2036.28380     1597.28120     1586.24380     3154.82870     3078.74370     2863.18000     2266.10000     2091.58000     2974.73750     3553.48870     1802.48000     1246.65380     1790.98380     2226.14500     3489.36500     2272.51380     3898.80130      923.40000     3021.40250     1808.72500     1391.82620     2148.92750     2580.68630     1618.65000     2748.20000      818.43625      736.87375     2328.30000     1487.41370     2015.65620     3816.62750     1518.91750     1762.46000     3442.74370     2238.22750     2764.99380     1365.28620     1939.46250     1567.69620     1640.21000     1144.09620     1452.91500     2329.35130     4680.40750     3372.57120     4277.19870     4069.59000     1306.90380      960.12625     1534.75500     2193.69380     2813.41000     2738.01870     2461.66120     2162.55370     1989.29880     1898.29250      848.96750     3717.11000     2181.62630     1163.00880     4143.38370
             19     2253.36250     1144.69120      962.01000     1624.41120     3741.37000     3036.58880     2339.85120     1705.14250      810.26375     1511.08120     3548.07620      716.77375     2288.46750     1019.75250     3170.38250     2366.81000     3718.70880     2622.07250     1425.25000     1879.20880     2468.22000     2331.12250     3579.36620     1066.83870     3189.67250     2111.70380     3053.80500     4156.90250     7498.04870     6516.70380     4531.93000     2073.37750     2882.17870     2509.01120     1700.22250     1795.62500     2410.92250     2569.25630     2602.10380     3898.92370      846.75125     2003.48380     1918.63750     3653.16250     5071.68370     2821.59620     3938.15750     1285.60250     1644.80250     1366.42750     1077.53500     2933.33000     1440.54250      863.07000     1540.25000     1517.46250     1456.71000     1235.05120     3561.97750     2160.36620     1583.59000     7256.51500
             20     2490.87370     1139.62750     1214.76750     1150.88500     4443.52000     3695.51000     2393.45750     3567.92750      672.95625     1969.88120     3175.96000      837.87000     2944.06500     1372.08000     3407.74620     2444.82870     3559.77500     3851.50750     1455.42250     2005.34120     2214.78750     1993.01120     3919.05500     1006.21120     3861.85620     2984.00250     2884.71880     5241.44750     9255.16380     7140.72500     4865.51380     2529.54870     2803.17750     2513.43120     1564.82620     1416.77380     4948.56000     2593.31000     2780.75500     3779.06750     1044.32250     2217.34000     2737.70880     3950.31000     5406.77620     3470.40500     4974.40630     1900.36130     1823.78500     2008.36750     1433.41000     3462.95620     2716.05500     1591.67750     2705.67500     1902.41880     2051.38250     1651.60370     3590.99750     2567.91620     1996.96370     7761.74500
             21     3759.58500     2662.09750      904.72250     1309.18380     2707.75500     6745.51120     2184.64120     3904.44120     1986.42000     1580.99880     2897.20380      666.18125     1975.34620     2317.05120     5822.39620     2238.89000     4673.00500     3926.77250     1433.81370     2140.16000     2291.66500     3532.64000     2570.77370     1436.78500     2850.85630     2123.02380     2462.71000     4045.13620     5071.75000     4702.67870     3191.24880     2422.55380     3209.88130     2343.19370     2825.64370     1485.03120     3262.90750     1469.83120     1501.78250     4078.85380     1344.13130     3247.13880     3121.46870     8706.22000     6202.28620     6012.30000     3151.02370     3504.21380     2738.62120     4427.28880     4611.55500     6774.86500     3054.16120     2331.81880     1271.71870     1319.41620     2400.58620     2728.33250     5292.13620     4051.44630     2816.84630     6512.11370
             22     4268.91870     2636.15620     3970.42250     3015.63880     5904.60250     4152.64620     3253.18500     4877.54380     4710.40880     5303.44380     3519.01370     2126.80000     3790.34880     5046.61120     6087.90380     4139.66120     3745.32370     4547.20500     4249.48500     3340.21000     3013.67500     3658.95750    12112.09500      658.87875     7337.06130     2777.78870     2727.27370     4489.46620     4162.45250     5775.16620     4477.07380     4508.93120     5590.97750     5853.30750     2619.14630     5121.10380     3577.66380     4567.06500     4141.86250     3986.64620     3181.01500     3275.56630     5193.05750     9993.68880     4944.29000     8254.45130     9734.15380     2428.05250     2311.44000     3755.12120     9533.93500    10781.30600     7008.13500     4360.75000     4439.89130     3727.30880     2481.89250     1587.95380     4991.01000     4084.86750     3279.52880     6518.91000
             23     4166.19120     3134.74750      906.59625     1206.18750     1806.13870     6646.43380     2698.23880     3845.13750     1626.07250     1520.68000     3079.83000      607.09125     1720.75880     2116.54120     5796.38370     2323.99120     4060.94500     4155.94880     1514.38000     1673.50620     2744.18370     3263.82620     1402.36880     1924.79130     4213.01250     2933.16620     2861.20000     5136.65250     6341.93870     7703.08750     4033.65120     2730.74880     3249.59620     2697.56880     2374.89630     1897.82000     3712.25620     2568.21380     2104.18000     5709.84620     1673.03250     3186.05750     3024.96750     9131.42630     5458.39250     8120.46500     5191.43370     5150.01370     2837.32250     5326.98870     4302.45370     6473.48750     4304.86750     3104.56380     2030.67380     1412.15500     2075.60880     2231.07000     4514.93870     3027.84750     2897.62620    10051.35000
             24     4286.69000     4244.07000     1313.05880     1640.31500     3337.09620     5772.71120     2001.15000     4059.92000     1367.63000     1185.38000     3918.68370      606.78875     2484.21000     2292.41500     3187.55750     3918.99120     1938.68380     2961.53250     4041.19750     1900.07500     3144.62500     1036.36750     1337.99120     2080.66120     3309.35750     3795.67380     2771.10500     6243.24620     9146.95380     2622.01880     6940.83870     1424.85500     1454.04380     5251.40130     3848.03000     1682.67880     3298.34750     2139.98000     2680.47880     2694.95000     3628.90500     1905.64380     3013.60380     2194.06120     5923.92750     3694.62880     5199.34870     3855.84000     1547.64870     1168.39870    10721.29800     4618.10370     5379.28000     1928.42120     2249.81880     1683.81630     3912.44120     2202.59880     3117.73750     6200.67750     1767.50750     1828.72500
             25     2699.28440     1186.89380     1950.39060     2641.15000     2910.12810     2065.13120     2619.01560      982.10938     2500.32810     2387.08440     2391.07190     1603.72190     1139.04380     2495.16560     1911.90000     1657.35310     2735.00620     1889.25620     2153.75620     1338.60940      903.14375     1541.11880     2630.90620     1155.94380     3709.19380     1056.55940     1037.13750     2547.05940     1640.97810     2183.92810     2689.98120     1478.67500     1880.70940     3390.90620     1212.97500     2135.30940     2094.34060     2052.12190     3317.61250     1791.15000     1219.39690     1557.73750     2617.11880     3370.54690     1994.74690     4202.46250     3514.97500     1806.47500      601.55000     2266.85000     2199.54060     4620.13750     2958.41880     2134.56880     2150.12190     1305.69690     1843.09060     1186.04380     3144.94060     2644.18440      929.74688     3104.80940
             26     2796.08330     2342.38210     1788.14640     1752.55360     1769.33330     3548.39640     3524.43930     6187.46790     1030.17860     1812.97140     2041.32740      590.35238     2527.88210     2633.57620     4436.53210     2073.55120     5584.45000     5670.29760     4263.90000     3509.09400     2003.53100     3364.62500     5261.33930     1444.09640     9026.37620     2461.89170     2444.13810     8041.29520     5440.05240     6794.70480     6356.96430     3309.41190     5881.08100     5626.59050     3247.45600     5217.50000     4268.07140     6775.80360     4384.36550     6483.60480     3229.72260     3116.19520     6432.07380     6788.57500     4830.35120    11454.71000     6789.40120     3192.41310     1752.40830     5521.62020     6264.49290    12061.60000     6046.31310     4610.95710     3350.50240     2187.04520     3177.32860     2564.93450     9123.45950     3263.11670     2580.55950     9309.40120
             27     1015.91430      792.21429     1254.51550     1531.52860     1837.27620     1533.79880     1065.08330      715.57262     1355.27380     1539.49520      949.27619      919.46429      846.40952     1571.61070     1202.57260      956.66667     1377.08570      902.76667     1380.11190     1075.82140      649.77024      934.97738     1441.91430      853.44286     2402.92980      743.06310      569.73690     1772.59400      997.34524     1437.91670     1818.45950      972.99524     1252.46070     2319.14640      804.64762     1594.75600     1548.44520     1450.15360     1312.08690     1189.77980      868.81905      925.72024     1626.29290     2172.24170     1223.92260     2714.63450     2365.90000      872.01429      621.60476     1082.65240     1278.02620     2516.70240     1717.27380     1556.65120     1563.98930      901.61071     1108.11430      772.20952     1915.19400      965.75357      699.08571     2472.23330
             28     1459.10250     1133.23750     1639.14750     2560.44250     2578.58250     3030.32120     1670.92750     1873.18750     1233.63620     2108.41120     1294.06250      568.01500     1948.64250     2883.85000     3687.37870     2712.73380     3509.81500     1582.64120     2961.52120     3174.83380     1983.44880     3162.64380     2324.08750      734.52875     2943.06000     1374.82380     1055.28620     2913.72500     2514.40120     3173.87250     3226.65500     1924.86380     3319.13250     3504.18620     1730.53250     3139.62000     1522.12500     3892.93750     2294.88880     2726.34000     1574.10250     1644.27630     2683.25880     4783.51870     4043.16500     6801.93870     5809.54120     1135.82380     1293.40120     2262.19250     3597.07500     6943.24880     2585.65380     2160.19630     1903.58250     3017.20000     3163.75500     1205.94750     4192.37250     1815.53000     1884.11500     4906.44500
             29     2865.03880      969.82375      819.18875     1293.77630     2949.15500     2410.85750     2221.07370     4691.34870      589.59875      989.50000     2887.51620      566.86750     2547.34870      966.05500     3281.79750     1308.54120     3843.12750     2838.52500     1499.60870      984.37750     2078.57750     2912.83000     2378.65120      763.30750     3056.97500     2015.93000     2431.39380     4126.53120     5734.56120     5205.31370     4336.70620     1393.29250     2976.26000     2919.82500     1801.95870     1255.24380     3055.84370     2045.01370     1978.40250     3651.99500      980.91875     1902.57250     1829.98000     2549.12250     5983.45880     2321.05620     3799.43750     2365.24250     1975.86130     1413.11500      719.14750     3135.03250     2186.62750      594.06375     1568.11130     1450.42500     1501.21620     2035.71370     6196.50130     3306.34250     1575.74630     2687.17380
             30     1156.95630      835.38625     1454.76250     3926.41750     2830.04880     2369.62880     1343.97250      777.33000     2126.63620     2369.38500     1669.03750      561.33625     2726.30750     2171.19870     6215.13120     3633.07620     2385.40000     3715.77250     3483.99250     2280.18000     2058.87500     3381.22130     3264.07500      704.11750     2137.42500     1644.99120      666.59000     2104.57750     3182.18120     1557.60500     2600.59500     1701.64750     1894.70500     3241.54000     2032.95750     2134.49880     1267.49630     1759.69000     1322.00250     1490.74000     1556.18750     2218.74250     3971.84120     4988.23370     2915.46620     4907.08620     4098.03000     1567.23630     1274.57500     1591.45500     3315.99880     6089.89750     2565.06500     3637.54750     1368.81750     2553.12370     2256.89250      824.30500     1917.34750     2487.80370     3717.34250     1834.18250
             31     1351.96500     1392.71620     1227.41870     1013.61880     2092.19500     2782.46130     1968.22870     3494.70250     1150.12250     1531.34500     1300.36000      538.69000     1408.22120     1299.70880     3214.00750     1190.31630     2496.17000     3990.58500     1976.90880     1155.86130     1055.88620     1975.70370     4601.67620      591.80875     4989.44250     1588.81380     1440.68000     4498.67620     2857.97880     4260.62750     2775.84880     1756.57380     3464.52380     2834.35620     1745.72250     3098.43120     2660.84380     4448.22750     2243.11630     3520.16750     1346.31250     2194.07250     3146.75620     6446.69630     2618.80620     6563.61880     8193.98750     1643.55750      849.09500     2849.11750     4410.26250     7018.53250     2956.52380     3175.82000     2648.26750     1626.74120     1743.57370     1470.97130     5432.17500     1402.81750     1995.54880     6470.86250
             32     3218.32120     3034.57120      916.71250      786.10125     2423.36620     2905.36870     1912.94380     1716.65380     1397.41880      971.91625     3128.27000      524.08750     2547.32750     2069.18500     3036.15750     2852.43250     2133.67500     1357.16250     2675.09370     1180.19000     2595.43500     1911.40120     1157.45000      807.39375     2014.99620     1367.61250     1146.45750     2059.73250     3425.46120     1866.77000     3636.58000      812.37625      781.05500     1346.93370     1879.32250      526.39625     1573.75250      720.53125     1173.63250     1932.92000     1485.52000     1298.09250     2443.97750     1604.93380     4026.87750     1994.44620     2092.24750     1582.03500     1472.83620      870.00375     3309.94250     1814.33750     2365.45370     1367.58000     1073.41000     1533.62250     1964.08370     1325.21250     1317.71000     2938.27880      861.10625     1135.62750
             33     3855.53380     4699.39500      576.78375     1077.68750     1488.01750     5638.22130     2698.36370     8418.04750      807.14000      511.85875     2639.21000      502.19125     1945.90380     1314.66620     2850.95000     2861.67500     4472.44120     4387.98620     3628.48250     1575.68250     2770.46120     2886.57750     1069.24500     2138.87250     3436.80500     3590.08750     2962.84880     6723.96750     7713.30380     3387.38630     5392.20500      843.62625     1653.22870     3727.82380     2278.00000     2143.35750     2897.55880     2138.58750     3065.01380     3366.12880     2753.62500     2604.63500     3092.67000     3987.23120     5379.88250     3666.92750     3630.66120     2854.98750     1588.70880     1740.22620     6966.78130     6491.28500     4711.90500     2124.60120     1207.41620     1818.06880     4127.27870     3051.52880     5229.73000     3335.40880     1651.99500     2039.55750
             34     3097.45380     3312.48120      745.34000     1956.64380     1670.86250     2167.53000     2129.70870     1875.93750     1241.85370      908.22750     3132.33750      473.66500     1942.57750     1749.36000     2115.13750     2720.42380     1925.51250     2104.51880     2835.36750     1229.36620     2260.73620     1747.96250      803.56750     1734.11500     2354.68750     1840.12750     1904.27250     3895.17250     4246.70120     3372.74880     3674.73380      589.58000      750.81125     2916.38380     1659.00000     1058.35620     2544.13620     1027.29000     1898.87380     1601.03500     1464.52250     1743.82250     1965.46500     1874.36120     2946.43380     1996.38380     2888.33000     2513.33500     1012.32000      832.81125     3493.02120     2700.75250     1991.81620     1565.15620     1201.76870     1307.75880     2214.14000      973.62500     2086.78500     1152.46120     1367.34620      484.69750
             35     1667.54250      854.42875      994.61250      987.24375     2562.08380     1431.34500     1312.32750      552.00875     1742.76750     1398.58120     2822.99750     1285.63870     1015.11000     1354.09620      667.64000     1464.19750     1576.48500     1265.76120      569.32000      889.70875      514.63875      786.16375     1802.65880      905.62000     1897.48500     1058.49750     1111.72250     2526.58750     2513.99500     2491.53380     2028.66000     1144.39750     1127.32500     2187.28000      736.67000      802.01000     2418.11500      979.45250     1758.87250     1063.82380      655.93500     1068.41880      993.73875      986.26625     1116.63000     1404.37120     1582.86000      930.07125      827.71625     1453.66250      478.95875     1617.01500     1281.01620      867.72750     1733.82380      461.22125     1004.51120      781.67750     1820.91880     1808.19750      731.34375     2381.24880
